N,종목명,현재가,전일비,등락률,액면가,전일거래량,PER,PBR,PBR_weighted
122.0,HD현대미포,72200.0,상승  200,+0.28%,5000.0,144779.0,-21.12,1.46,1.752
123.0,JB금융지주,14620.0,"상승  1,210",+9.02%,5000.0,260312.0,4.91,0.56,0.672
124.0,에이피알,369500.0,"상승  11,000",+3.07%,500.0,224153.0,31.65,9.42,11.304
125.0,농심,459500.0,"하락  4,000",-0.86%,5000.0,48057.0,16.37,1.07,1.284
126.0,한국가스공사,29800.0,"상승  1,400",+4.93%,5000.0,142248.0,-5.64,0.25,0.3
127.0,KODEX 종합채권(AA-이상)액티브,109945.0,하락  15,-0.01%,0.0,24241.0,,,
128.0,롯데지주,26150.0,상승  700,+2.75%,200.0,155520.0,-30.8,0.27,0.324
129.0,BNK금융지주,8450.0,상승  90,+1.08%,5000.0,502934.0,4.28,0.27,0.324
130.0,한온시스템,5010.0,하락  40,-0.79%,100.0,1728259.0,172.76,1.11,1.332
131.0,한전기술,69900.0,"상승  1,300",+1.90%,200.0,166954.0,82.33,4.99,5.988
132.0,KCC,294000.0,"하락  8,500",-2.81%,5000.0,17049.0,3.86,0.39,0.46799999999999997
133.0,F&F,67000.0,"상승  2,800",+4.36%,100.0,68623.0,6.38,1.94,2.328
134.0,TIGER 미국필라델피아반도체나스닥,18930.0,상승  75,+0.40%,0.0,3378124.0,,,
135.0,KODEX 24-12 은행채(AA+이상)액티브,10310.0,상승  5,+0.05%,0.0,311907.0,,,
136.0,한화생명,2805.0,상승  45,+1.63%,5000.0,989073.0,3.21,0.16,0.192
137.0,에스원,63600.0,"상승  1,200",+1.92%,500.0,42552.0,13.27,1.39,1.668
138.0,휠라홀딩스,39400.0,상승  450,+1.16%,1000.0,44881.0,45.29,1.19,1.428
139.0,CJ대한통운,103700.0,상승  500,+0.48%,5000.0,72870.0,10.31,0.6,0.72
140.0,팬오션,4305.0,상승  95,+2.26%,1000.0,1580716.0,11.96,0.46,0.552
141.0,TIGER 미국테크TOP10 INDXX,19310.0,하락  135,-0.69%,0.0,1334706.0,,,
142.0,호텔신라,56900.0,"상승  1,200",+2.15%,5000.0,192417.0,73.04,3.55,4.26
143.0,씨에스윈드,52800.0,"상승  2,200",+4.35%,500.0,227207.0,-83.54,2.54,3.048
144.0,TIGER 200,36045.0,하락  60,-0.17%,0.0,1281795.0,,,
145.0,롯데에너지머티리얼즈,47600.0,상승  800,+1.71%,500.0,314252.0,-689.86,1.52,1.8239999999999998
146.0,한미사이언스,31550.0,"상승  1,000",+3.27%,500.0,152724.0,18.38,2.64,3.168
147.0,제일기획,18690.0,상승  80,+0.43%,200.0,200531.0,11.3,1.53,1.8359999999999999
148.0,한솔케미칼,189500.0,"상승  8,400",+4.64%,5000.0,55349.0,19.71,2.41,2.892
149.0,KODEX 200TR,12525.0,보합0,0.00%,0.0,61418.0,,,
150.0,GS리테일,19830.0,상승  310,+1.59%,1000.0,117148.0,56.5,0.51,0.612
151.0,금호타이어,7160.0,상승  50,+0.70%,5000.0,327942.0,8.96,1.49,1.788
152.0,HL만도,43400.0,보합0,0.00%,1000.0,787681.0,8.64,0.85,1.02
153.0,한화,27050.0,상승  500,+1.88%,5000.0,123031.0,-16.68,0.26,0.312
154.0,BGF리테일,116500.0,보합0,0.00%,1000.0,24195.0,10.51,1.96,2.352
155.0,TIGER 차이나전기차SOLACTIVE,7890.0,상승  115,+1.48%,0.0,1590338.0,,,
156.0,KODEX 레버리지,18375.0,상승  10,+0.05%,0.0,19877654.0,,,
157.0,코스맥스,170000.0,"상승  4,400",+2.66%,500.0,105019.0,27.69,4.98,5.976
158.0,OCI홀딩스,96900.0,"상승  3,700",+3.97%,5000.0,105502.0,2.7,0.49,0.588
159.0,동서,18750.0,상승  390,+2.12%,500.0,76809.0,11.84,1.17,1.404
160.0,더존비즈온,61500.0,보합0,0.00%,500.0,564248.0,44.76,3.59,4.308
161.0,롯데쇼핑,65900.0,상승  900,+1.38%,5000.0,41146.0,9.51,0.2,0.24
162.0,오뚜기,455000.0,"상승  6,500",+1.45%,5000.0,7912.0,10.88,0.8,0.96
163.0,LG화학우,237000.0,상승  500,+0.21%,5000.0,27198.0,18.55,0.57,0.6839999999999999
164.0,DB하이텍,40550.0,상승  600,+1.50%,5000.0,227557.0,7.79,0.96,1.152
165.0,KBSTAR 머니마켓액티브,52315.0,보합0,0.00%,0.0,263946.0,,,
166.0,효성티앤씨,401500.0,"상승  24,500",+6.50%,5000.0,13715.0,16.25,1.33,1.596
167.0,풍산,61900.0,"하락  1,000",-1.59%,5000.0,355539.0,12.47,0.85,1.02
168.0,이마트,61300.0,상승  500,+0.82%,5000.0,148028.0,-23.49,0.14,0.168
169.0,에스엘,36550.0,상승  300,+0.83%,500.0,225562.0,4.69,0.83,0.9959999999999999
170.0,한전KPS,37150.0,상승  650,+1.78%,200.0,115767.0,10.44,1.36,1.6320000000000001
171.0,효성첨단소재,372000.0,"상승  16,000",+4.49%,5000.0,13954.0,73.39,2.42,2.904
172.0,HD현대인프라코어,8310.0,보합0,0.00%,1000.0,1067187.0,8.93,0.89,1.068
173.0,한올바이오파마,31550.0,"하락  5,350",-14.50%,500.0,418157.0,371.18,8.98,10.776
174.0,SK가스,178500.0,"상승  12,100",+7.27%,5000.0,19399.0,9.11,0.63,0.756
175.0,신세계,163200.0,하락  600,-0.37%,5000.0,32019.0,7.25,0.35,0.42
176.0,두산퓨얼셀,24500.0,"상승  1,100",+4.70%,100.0,1144598.0,-188.46,3.92,4.704
177.0,현대엘리베이,40150.0,"상승  2,400",+6.36%,5000.0,96741.0,15.52,1.25,1.5
178.0,대우건설,3655.0,상승  5,+0.14%,5000.0,829995.0,3.02,0.37,0.444
179.0,한국콜마,64300.0,"상승  5,300",+8.98%,500.0,655670.0,259.27,2.11,2.5319999999999996
180.0,현대위아,55600.0,상승  400,+0.72%,5000.0,59753.0,13.55,0.43,0.516
181.0,영원무역,33950.0,"상승  1,600",+4.95%,500.0,202909.0,3.23,0.45,0.54
182.0,이수스페셜티케미컬,49400.0,"상승  4,300",+9.53%,1000.0,1391518.0,-196.03,14.45,17.34
183.0,KODEX 200선물인버스2X,2165.0,상승  5,+0.23%,0.0,136452947.0,,,
184.0,세방전지,102700.0,하락  900,-0.87%,500.0,59422.0,10.05,1.01,1.212
185.0,한국앤컴퍼니,15130.0,상승  260,+1.75%,500.0,45197.0,5.34,0.35,0.42
186.0,하이트진로,20100.0,상승  160,+0.80%,5000.0,109097.0,35.89,1.33,1.596
187.0,DGB금융지주,8240.0,상승  90,+1.10%,5000.0,376382.0,3.59,0.23,0.276
188.0,종근당,104500.0,"상승  2,200",+2.15%,2500.0,22945.0,6.81,1.61,1.932
189.0,한샘,58100.0,"상승  1,700",+3.01%,1000.0,35563.0,1452.5,2.46,2.952
190.0,롯데웰푸드,144000.0,하락  600,-0.41%,500.0,15000.0,14.93,0.61,0.732
191.0,녹십자,114700.0,"상승  4,100",+3.71%,5000.0,13987.0,-45.44,1.04,1.248
192.0,코리안리,8080.0,상승  90,+1.13%,500.0,365069.0,4.71,0.37,0.444
193.0,TIGER 24-12 금융채(AA-이상),51310.0,보합0,0.00%,0.0,524.0,,,
194.0,DL이앤씨,34000.0,상승  950,+2.87%,5000.0,124921.0,11.76,0.31,0.372
195.0,일진전기,27350.0,상승  300,+1.11%,1000.0,1950119.0,30.97,2.78,3.336
196.0,KODEX Top5PlusTR,22855.0,하락  215,-0.93%,0.0,19074.0,,,
197.0,KODEX 단기채권PLUS,110700.0,상승  15,+0.01%,0.0,222805.0,,,
198.0,GS건설,14990.0,상승  320,+2.18%,5000.0,428937.0,-2.65,0.29,0.348
199.0,동원시스템즈,44000.0,상승  450,+1.03%,5000.0,220720.0,19.27,1.66,1.9919999999999998
200.0,KODEX 미국S&P500TR,16455.0,상승  40,+0.24%,0.0,556907.0,,,
